File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,nothing(which initiates a plugin with default behavior),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,user(will wait for CSS transitions to complete),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,$('.dropdown-toggle').dropdown(),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,"user(will wait for CSS transitions, to complete)",1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,JavaScript(each tab needs to be activated individually),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,user(will wait for CSS transitions to complete),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,user(will wait for CSS transitions to complete),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,closed(will wait for CSS transitions to complete),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,$('.nav-tabs').button(),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,$('.btn').button('complete'),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,"$("".collapse"").collapse()",1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,user(will wait for CSS transitions to complete),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\javascript.html,$('.carousel').carousel(),1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,my_page_menu_args($args),3,3,3,1,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,my_wp_nav_menu_args( $args = '' ),3,3,3,1,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,filter_ptags_on_images($content),2,2,2,1,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,add_my_editor_style(),2,2,2,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,remove_category_box(),2,2,2,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,quickchic_widgets_init(),10,10,2,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,custom_excerpt_length( $length ),2,2,2,1,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,excerpt($limit),10,10,9,2,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,content($limit),12,12,11,2,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,posts_link_attributes_prev(),2,2,2,1,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\functions.php,posts_link_attributes_next(),2,2,2,1,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\single.php,"?>      "">        <img id=""logo"" <?php if(get_field('show-header-image') == true)",1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\staticpage.php,"?>      "">        <img id=""logo"" <?php if(get_field('show-header-image') == true)",1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\stream.php,"?>      "">        <img id=""logo"" <?php if(get_field('show-header-image') == true)",1,1,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\customizer.js,function(),289,240,71,36,48,7,1,68,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\jszip.js,"function(data, options)",14,6,6,1,2,0,6,19,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\assets\js\respond.min.js,window.matchMedia=window.matchMedia||function(a),1,1,4,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),35,25,11,4,7,0,3,7,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),77,44,10,8,25,1,8,18,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),88,54,14,8,25,0,9,25,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),196,141,30,28,47,2,8,20,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),158,109,18,19,41,1,8,19,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),133,83,16,22,41,3,9,35,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),225,158,37,18,59,6,8,38,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),364,262,59,38,93,1,9,47,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),96,58,15,13,28,0,10,37,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),137,98,19,16,31,1,8,18,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),114,75,17,11,31,2,8,21,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.js,+function($),105,66,15,13,31,0,8,15,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\dist\js\bootstrap.min.js,"Error(""Bootstrap requires jQuery"");+function(a)",1,1,8,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\affix.js,+function($),105,66,15,13,31,0,8,15,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\alert.js,+function($),77,44,10,8,25,1,8,18,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\button.js,+function($),88,54,14,8,25,0,9,25,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\carousel.js,+function($),196,141,30,28,47,2,8,20,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\collapse.js,+function($),158,109,18,19,41,1,8,19,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\dropdown.js,+function($),133,83,16,22,41,3,9,35,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\modal.js,+function($),225,158,37,18,59,6,8,38,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\popover.js,+function($),96,58,15,13,28,0,10,37,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\scrollspy.js,+function($),137,98,19,16,31,1,8,18,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tab.js,+function($),114,75,17,11,31,2,8,21,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tooltip.js,+function($),364,262,59,38,93,1,9,47,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\transition.js,+function($),35,25,11,4,7,0,3,7,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\phantom.js,"waitFor(testFx, onReady, timeOutMillis)",20,17,6,2,0,5,3,56,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\phantom.js,function(msg),2,2,1,0,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,synchronize( callback ),6,5,4,1,1,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,process(),14,13,10,4,1,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,saveGlobal(),8,7,5,2,1,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,checkPollution( name ),13,11,9,2,2,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,"diff( a, b )",12,12,9,5,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,"fail(message, exception, callback)",9,8,7,1,1,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,"extend(a, b)",10,9,7,3,1,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,"addEvent(elem, type, fn)",8,8,7,1,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,id(name),3,3,2,1,0,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,function(),171,124,83,46,26,19,21,183,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\vendor\qunit.js,"inArray( elem, array )",12,10,7,6,2,0,0,0,
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\vendor\modernizr-2.6.2.min.js,";window.Modernizr=function(a,b,c)",1,1,111,0,0,0,0,0,
